,Artist,Track,ID
0,The Cure,Homesick,['6pjeFxuw6VLDqhYUKNEuvH']
1,Slowdive,Spanish Air,['3hHR2o77hKJpTSbz4pHISc']
2,Joy Division,New Dawn Fades,['5EabbLQZbdhCqG6aK9PFLU']
3,Horsebeach,What Problem?,['05bqnQEsq5TYUqjgcBiZGg']
4,The Cure,Fascination Street,['23j7dlNIalftynH6fNllR9']
5,Slowdive,Ballad Of Sister Sue,['1nbZgajaqXmZQG24vl9u5d']
6,The Growlers,Purgatory Drive,['4zSFvdt1VR6t7dCGUggeQa']
7,Depeche Mode,Halo,['2XVGfOXvRWy5QP2xPGXvZj']
8,Beach House,Bluebird,['2ZwToUy7ZKvBBN2ik7kK0p']
9,Mac DeMarco,Freaking Out the Neighborhood,['25SJaCCPiosugnlY53VhRG']
10,Horsebeach,Faded Eyes,['428rENoboxyFNY3xfxLb3G']
11,Horsebeach,i must work & i must die,['6h36wKQxiZHJzNGV9SBJOS']
12,Slowdive,Catch the Breeze,['4cz5bBa239LZ0Pt5DrJXYK']
13,Joy Division,Transmission,['1Bq65xKgu0kjSUMUlfWyPl']
14,Men I Trust,Lauren,['7vptmeNwSEVkcwDdqk7UQO']
15,The Cure,Lullaby,['4d4oXk7O2lEhZ83ivV93li']
16,The Growlers,Rare Hearts,['5BaZFFtBTrydZMdczZLkrd']
17,Robin Guthrie & Harold Budd,Halloween,[]
18,Slowdive,Alison,['33HRECrmuelZxOpid6XTNX']
19,Slowdive,Souvlaki Space Station,['76JhicgPtW4zbN72tpnMyA']
20,Craft Spells,Nausea,['1jylZOai0G9TI6Font5Nd2']
21,Echo & the Bunnymen,My White Devil,['0T6riu8Q5LnLgiQ0vqnlKz']
22,Men I Trust,Tailwhip,['2DoO0sn4SbUrz7Uay9ACTM']
23,Sports,You Are the Right One,['2qpacEyFxmbxCpIEqZkqvC']
24,Talking Heads,Born Under Punches (The Heat Goes On),['4eBCTzBsSjYgrLH5clQf2x']
25,Depeche Mode,Policy of Truth,['0C6EIiQu8CS4eYtOCMEiAd']
26,Echo & the Bunnymen,With a Hip,['2sTmJ0s9d3FL9ieWaafTTL']
27,Men I Trust,Seven,['2dwvxOHnQjndZLowIR6PiS']
28,Talk Talk,Candy,['7HqnpTVl4MjlUGywaHlXGV']
29,The Mamas & the Papas,California Dreamin',['4s6LhHAV5SEsOV0lC2tjvJ']
30,Horsebeach,Dreaming,['1fxt1PWqzXceHGHf4Orh79']
31,Styx,Man In The Wilderness,['0hxHatHRsTDFNZ2Ruw47n3']
32,The Cure,Lovesong,['0X5C4WjQNubRysTkHOubz3']
33,Joy Division,Decades - 2007 Remaster,['1nht40JT9sTCtXxrpPi5Gm']
34,Joy Division,Shadowplay,['4ZuC5MfGjRQs3pZtPxqMYP']
35,Talk Talk,I Don't Believe in You,['2PeyQvyaViallofbtwS4PL']
36,Joy Division,Isolation,['1UWbBFaZNksb3AmgldkprR']
37,Slowdive,When the Sun Hits,['0oxYB9GoOIDrdzniNdKC44']
38,The Cure,A Forest,['3O4TPMOgChXOerSdB5WENH']
39,The Growlers,Love Test,['4lNdwUwfLs4ogOGN2qzaxD']
40,The Growlers,Not the Man,['0P8QkT7SYbz2XfNCrUlXvM']
41,Franz Ferdinand,Take Me Out,['6ooluO7DiEhI1zmK94nRCM']
42,Horsebeach,Clouds,['0x7pP9icbgDmMcbxz10TEu']
43,Joy Division,Wilderness - 2007 Remaster,['69uyiCMqXdr7qVYGHL4I8t']
44,Slowdive,Altogether,['4KnSm0B0r4F5zsB9qsfiUB']
45,Talking Heads,Crosseyed and Painless,['0yhwdmbgkKdE1plV8xWdrd']
46,The Cure,Other Voices,['5I54KutlUcBNmh0hmuAOy4']
47,The Weeknd,Starboy,['7MXVkk9YMctZqd1Srtv4MB']
48,Charli XCX,Roll with Me,['0D6VCA9ycrkk9kH9F0p0AB']
49,Horsebeach,Even,['16kYsTp3IRoJs6UwkLrP2D']
50,Placebo,Lady of the Flowers,['2FfiXZdVAaX2MuIhcCTjsy']
51,Slowdive,Celia's Dream,['58LwagSpbHNBrIr6kyb0cD']
52,Depeche Mode,Enjoy the Silence,['1YwNlWLf8auhazSQUDQLFU']
53,Froth,Afternoon,['6qxX8kvbDNLzsW3OkorUUW']
54,Horsebeach,how far must we go?,['4TbqJs6qzpK5A0lzAdEbLd']
55,Joy Division,Dead Souls,['1cjzx1lSvXO42zLAZq1zzP']
56,Joy Division,Disorder,['5fbQCQt91LsVgXusFS0CCD']
57,Joy Division,She's Lost Control,['0rcLhYRihks3t4lFPtHhQV']
58,The Growlers,Black Memories,['0Zr9v40jtlYsFHCCw8jY5L']
59,Ariana Grande,God is a woman,['5OCJzvD7sykQEKHH7qAC3C']
60,Joy Division,Passover - 2007 Remaster,['6SnD5dJk06mhNQvvF270cw']
61,Slowdive,Erik's Song,['0QwLXiZIF9wFkEGW9INVOe']
62,Horsebeach,Beneath Our Feet,['73m5ScovfIjEUVIOLlwXEt']
63,Joy Division,A Means to an End,['4HgxCQLqNcd8s6lyoR4aag']
64,Men I Trust,I Hope to Be Around,['0Molxw6WdYhOifas6NiQL2']
65,Pale Honey,Why Do I Always Feel This Way,['379uzd2tU17ACrXZQPUq5t']
66,Pixies,Monkey Gone to Heaven,['66y10QvvJvQlpigUrr4Aba']
67,Horsebeach,It's Alright,['0ZAdCDeysyoh5BOpuSGKy3']
68,Men I Trust,Show Me How,['01TyFEZu6mHbffsVfxgrFn']
69,Portishead,Roads,['2sW8fmnISifQTRgnRrQTYW']
70,Radiohead,Everything in Its Right Place,['2kRFrWaLWiKq48YYVdGcm8']
71,Slowdive,Waves,['0tEuudfO34gLfTTcUSOFlB']
72,Talk Talk,Tomorrow Started - 1997 Remaster,['3khWEPmZJ8X1QMlW0iKcSF']
73,Two People,In The Garden,['1nbb4NsWDRwQB6MqarCO5E']
74,Acid Ghost,New York,['7mHVncGZz23AWFGfvHf70Z']
75,Depeche Mode,World in My Eyes,['70B5oP5ng1QYClkJ9CeWly']
76,Joy Division,Atmosphere,['7k42ztYdHyKWrKrENxwjkV']
77,Joy Division,Heart and Soul,['4SDscXJTjdF2YgSkYADyU0']
78,Radiohead,I Might Be Wrong,['5JZ1jTanqLWVuThmZ6XRAc']
79,Tender,Slow Love,['5bOBc05OJjuCusiPiq90Cm']
80,The Cure,Prayers for Rain,['4Qq0UKztCAIfu0Tfgmb1d2']
81,Def Leppard,Lady Strange,['7dDwYtWBlsCCUMcsU6fe3n']
82,Joy Division,Insight,['7oNu4gShXbbM1GBJtfJucq']
83,Mild Orange,Mysight,['5AJXucnDEp4GizQwDWW8m6']
84,Slowdive,Dagger,['3MmRfG64qt04Efx9gK9Ec8']
85,Slowdive,Here She Comes,['5FuYgi1xinZAQyD5CYLpUJ']
86,Slowdive,Joy,[]
87,Slowdive,The Sadman,['6ktlz091RxLid9rd9MmB8n']
88,Talking Heads,New Feeling - 2005 Remaster,['2pmytOddxLVaASHQqTH9LO']
89,The Cure,Cold,['3XerBkjkILRc48huk5NkLG']
90,The Cure,Disintegration,['0zY8t5dC1KQXcPUKByWMJM']
91,Wilco,How To Fight Loneliness,['1CsMuJeMzRqNgS7G0fo1Gv']
92,Acid Ghost,Mistakes,['5msB7Lu3k6IHhK9dbGEWua']
93,Confidence Man,Out The Window,['2cj1pnYsPSCT72lHBFTXPs']
94,Joy Division,Passover,['6SnD5dJk06mhNQvvF270cw']
95,King Crimson,I Talk to the Wind,['2htrobARQSYCNg46T1HO5D']
96,Slowdive,Primal,['57cXmeqCiKUF0GpJDFVAkt']
97,Talk Talk,Tomorrow Started,['3khWEPmZJ8X1QMlW0iKcSF']
98,Talking Heads,The Great Curve,['35ljOibZSLEjOEPGrbaJsH']
99,Zero 7,In the Waiting Line,['5ARrtxJLVCeTv5TWo1oKgC']
100,Ariana Grande,no tears left to cry,['2qT1uLXPVPzGgFOx4jtEuo']
101,Blue Ãyster Cult,Then Came the Last Days of May,[]
102,Coldplay,Don't Panic,[]
103,Depeche Mode,It's No Good,['04ARYAWkGZZhDbHqgvnYGf']
104,Joy Division,Decades,['1nht40JT9sTCtXxrpPi5Gm']
105,Joy Division,Incubation,['3M5BbGhVt5QssJsif7yOF2']
106,Joy Division,Interzone - 2007 Remaster,['3iMq9V0Ece9ubjWAYVcMwj']
107,Joy Division,Love Will Tear Us Apart,['34iOH7LY3vme5rQxsVILZ4']
108,Kurt Vile,Dust Bunnies,['2ieHhkSn31vTajephIInsb']
109,Mansionair,Violet City,['4VPHxAtloVdaRWrzHJUtCA']
110,richard twice,The Finest Poet,[]
111,Slowdive,Sing,['2alubJkPNdHA97Unct4J23']
112,The Mamas & the Papas,Do You Wanna Dance,['645pkWAIHbCECpVsaZAxKq']
113,Charlie Puth,Attention,['5cF0dROlMOK5uNZtivgu50']
114,Claire Laffut,VÃ©ritÃ©,[]
115,Echo & the Bunnymen,Show of Strength,['4rnSOS7lRqsqf2qMo1TsyF']
116,Echo & the Bunnymen,The Cutter,['617ahruubznvqzv7Nas3QX']
117,Joy Division,Wilderness,['69uyiCMqXdr7qVYGHL4I8t']
118,Men I Trust,Break For Lovers,['1mXE3amJxqLBPBUBYQi55e']
119,Radiohead,Jigsaw Falling Into Place,['0YJ9FWWHn9EfnN0lHwbzvV']
120,Sonic Youth,I Dreamed I Dream,['3ZSBXMcdSXbTnsivHfkb1e']
121,Talking Heads,Listening Wind,['438kAOxGJQtpEkVMom9WXJ']
122,The Cure,Last Dance,['4muRKfZjpRvjoi4eAOAYot']
123,The Smashing Pumpkins,Soma,['1EGa3uFmvkGChrZeIKxGwB']
124,Camel,Stationary Traveller,[]
125,Coldplay,High Speed,['2DHgvPQD1jApRnT1DBZdrS']
126,Coldplay,Spies,['2mLgOcRkEgq89j8WstUpui']
127,Echo & the Bunnymen,No Dark Things,['34x6aWpmE2Xmsri60IsdMS']
128,Halsey,Haunting,['1r1WtSrPbAOYHE7zwq4eqK']
129,New Order,Doubts Even Here - 2015 Remaster,['0055LRFB7zfdCXDGodyIz3']
130,Pixies,No. 13 Baby,['4NXzNzXDkMEWtvn3foSIrJ']
131,Slowdive,Melon Yellow,['6HDbazzz9BHKufmSfuLTVE']
132,Slowdive,Slowdive,['7fgHvYrA6d92B3ClbjZinS']
133,Slowdive,Summer Daze,[]
134,The Cure,The Figurehead,['4MLYH01rrqDifXe06KAkfz']
135,The Growlers,Going Gets Tough,['53CKX8ycrYqHTppfBpsfsY']
