,Artist,Track,ID,energy,acousticness,valence,danceability,tempo
0,The Cure,Homesick,6pjeFxuw6VLDqhYUKNEuvH,0.696,0.118,0.528,0.491,156.014
1,Slowdive,Spanish Air,3hHR2o77hKJpTSbz4pHISc,0.589,4.51e-06,0.13,0.235,182.88
2,Joy Division,New Dawn Fades,5EabbLQZbdhCqG6aK9PFLU,0.525,0.00236,0.258,0.387,78.339
3,Horsebeach,What Problem?,05bqnQEsq5TYUqjgcBiZGg,0.753,2.69e-06,0.564,0.556,134.346
4,The Cure,Fascination Street,23j7dlNIalftynH6fNllR9,0.91,0.00134,0.491,0.508,100.058
5,Slowdive,Ballad Of Sister Sue,1nbZgajaqXmZQG24vl9u5d,0.482,0.00137,0.123,0.431,128.045
6,The Growlers,Purgatory Drive,4zSFvdt1VR6t7dCGUggeQa,0.726,0.00861,0.901,0.586,117.02
7,Depeche Mode,Halo,2XVGfOXvRWy5QP2xPGXvZj,0.602,0.104,0.639,0.71,112.198
8,Beach House,Bluebird,2ZwToUy7ZKvBBN2ik7kK0p,0.572,0.667,0.423,0.495,168.055
9,Mac DeMarco,Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG,0.832,0.0639,0.847,0.565,143.302
10,Horsebeach,Faded Eyes,428rENoboxyFNY3xfxLb3G,0.916,0.0754,0.794,0.523,120.052
11,Horsebeach,i must work & i must die,6h36wKQxiZHJzNGV9SBJOS,0.764,0.000154,0.464,0.496,150.118
12,Slowdive,Catch the Breeze,4cz5bBa239LZ0Pt5DrJXYK,0.48,5.66e-05,0.188,0.227,92.701
13,Joy Division,Transmission,1Bq65xKgu0kjSUMUlfWyPl,0.849,0.0202,0.65,0.496,153.724
14,Men I Trust,Lauren,7vptmeNwSEVkcwDdqk7UQO,0.503,0.777,0.558,0.762,96.999
15,The Cure,Lullaby,4d4oXk7O2lEhZ83ivV93li,0.557,0.185,0.586,0.718,94.095
16,The Growlers,Rare Hearts,5BaZFFtBTrydZMdczZLkrd,0.651,0.0264,0.602,0.601,120.517
17,Robin Guthrie & Harold Budd,Halloween,,,,,,
18,Slowdive,Alison,33HRECrmuelZxOpid6XTNX,0.449,0.00782,0.278,0.276,101.687
19,Slowdive,Souvlaki Space Station,76JhicgPtW4zbN72tpnMyA,0.599,0.00365,0.443,0.387,137.936
20,Craft Spells,Nausea,1jylZOai0G9TI6Font5Nd2,0.624,0.584,0.332,0.52,98.003
21,Echo & the Bunnymen,My White Devil,0T6riu8Q5LnLgiQ0vqnlKz,0.827,0.122,0.269,0.478,139.263
22,Men I Trust,Tailwhip,2DoO0sn4SbUrz7Uay9ACTM,0.655,0.415,0.598,0.8,114.004
23,Sports,You Are the Right One,2qpacEyFxmbxCpIEqZkqvC,0.594,0.162,0.851,0.659,100.033
24,Talking Heads,Born Under Punches (The Heat Goes On),4eBCTzBsSjYgrLH5clQf2x,0.859,0.215,0.908,0.734,112.941
25,Depeche Mode,Policy of Truth,0C6EIiQu8CS4eYtOCMEiAd,0.658,0.0093,0.359,0.678,114.209
26,Echo & the Bunnymen,With a Hip,2sTmJ0s9d3FL9ieWaafTTL,0.866,7.86e-05,0.792,0.542,144.237
27,Men I Trust,Seven,2dwvxOHnQjndZLowIR6PiS,0.421,0.666,0.832,0.692,96.982
28,Talk Talk,Candy,7HqnpTVl4MjlUGywaHlXGV,0.738,0.0175,0.634,0.587,76.101
29,The Mamas & the Papas,California Dreamin',4s6LhHAV5SEsOV0lC2tjvJ,0.608,0.352,0.637,0.552,112.367
30,Horsebeach,Dreaming,1fxt1PWqzXceHGHf4Orh79,0.614,0.263,0.793,0.638,110.007
31,Styx,Man In The Wilderness,0hxHatHRsTDFNZ2Ruw47n3,0.519,0.0393,0.308,0.263,138.34
32,The Cure,Lovesong,0X5C4WjQNubRysTkHOubz3,0.813,0.339,0.821,0.611,140.112
33,Joy Division,Decades - 2007 Remaster,1nht40JT9sTCtXxrpPi5Gm,0.538,0.000489,0.436,0.572,107.089
34,Joy Division,Shadowplay,4ZuC5MfGjRQs3pZtPxqMYP,0.756,0.000997,0.117,0.433,145.443
35,Talk Talk,I Don't Believe in You,2PeyQvyaViallofbtwS4PL,0.425,0.08,0.377,0.663,85.924
36,Joy Division,Isolation,1UWbBFaZNksb3AmgldkprR,0.783,0.048,0.697,0.544,151.522
37,Slowdive,When the Sun Hits,0oxYB9GoOIDrdzniNdKC44,0.532,0.00101,0.218,0.33,93.512
38,The Cure,A Forest,3O4TPMOgChXOerSdB5WENH,0.62,0.34,0.421,0.633,81.117
39,The Growlers,Love Test,4lNdwUwfLs4ogOGN2qzaxD,0.728,0.00744,0.745,0.65,114.988
40,The Growlers,Not the Man,0P8QkT7SYbz2XfNCrUlXvM,0.668,0.00202,0.553,0.556,131.04
41,Franz Ferdinand,Take Me Out,6ooluO7DiEhI1zmK94nRCM,0.676,0.000423,0.494,0.278,104.545
