,Artist,Track,ID,energy,acousticness,valence,danceability,tempo,Genre
0,The Cure,Homesick,6pjeFxuw6VLDqhYUKNEuvH,0.696,0.11800000000000001,0.528,0.491,156.014,new wave
1,Slowdive,Spanish Air,3hHR2o77hKJpTSbz4pHISc,0.589,4.51e-06,0.13,0.235,182.88,shoegaze
2,Joy Division,New Dawn Fades,5EabbLQZbdhCqG6aK9PFLU,0.525,0.00236,0.258,0.387,78.339,post-punk
4,The Cure,Fascination Street,23j7dlNIalftynH6fNllR9,0.91,0.00134,0.491,0.508,100.05799999999999,new wave
5,Slowdive,Ballad Of Sister Sue,1nbZgajaqXmZQG24vl9u5d,0.48200000000000004,0.00137,0.12300000000000001,0.431,128.045,shoegaze
6,The Growlers,Purgatory Drive,4zSFvdt1VR6t7dCGUggeQa,0.726,0.00861,0.9009999999999999,0.586,117.02,the best
7,Depeche Mode,Halo,2XVGfOXvRWy5QP2xPGXvZj,0.602,0.10400000000000001,0.639,0.71,112.198,electronic
8,Beach House,Bluebird,2ZwToUy7ZKvBBN2ik7kK0p,0.5720000000000001,0.667,0.423,0.495,168.055,dream pop
9,Mac DeMarco,Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG,0.8320000000000001,0.0639,0.847,0.565,143.30200000000002,Lo-Fi
11,Horsebeach,i must work & i must die,6h36wKQxiZHJzNGV9SBJOS,0.764,0.000154,0.46399999999999997,0.496,150.118,interesting title
12,Slowdive,Catch the Breeze,4cz5bBa239LZ0Pt5DrJXYK,0.48,5.660000000000001e-05,0.188,0.22699999999999998,92.70100000000001,shoegaze
13,Joy Division,Transmission,1Bq65xKgu0kjSUMUlfWyPl,0.8490000000000001,0.0202,0.65,0.496,153.724,post-punk
14,Men I Trust,Lauren,7vptmeNwSEVkcwDdqk7UQO,0.503,0.777,0.5579999999999999,0.762,96.999,groove
15,The Cure,Lullaby,4d4oXk7O2lEhZ83ivV93li,0.557,0.185,0.586,0.718,94.095,80s
17,Slowdive,Alison,33HRECrmuelZxOpid6XTNX,0.449,0.00782,0.278,0.276,101.68700000000001,shoegaze
18,Slowdive,Souvlaki Space Station,76JhicgPtW4zbN72tpnMyA,0.599,0.00365,0.44299999999999995,0.387,137.936,shoegaze
19,Craft Spells,Nausea,1jylZOai0G9TI6Font5Nd2,0.624,0.584,0.332,0.52,98.00299999999999,favourite
20,Echo & the Bunnymen,My White Devil,0T6riu8Q5LnLgiQ0vqnlKz,0.8270000000000001,0.122,0.26899999999999996,0.478,139.263,post-punk
21,Men I Trust,Tailwhip,2DoO0sn4SbUrz7Uay9ACTM,0.655,0.415,0.598,0.8,114.00399999999999,chillout
22,Sports,You Are the Right One,2qpacEyFxmbxCpIEqZkqvC,0.594,0.162,0.851,0.659,100.03299999999999,Fave Indie Pop
23,Talking Heads,Born Under Punches (The Heat Goes On),4eBCTzBsSjYgrLH5clQf2x,0.8590000000000001,0.215,0.9079999999999999,0.7340000000000001,112.941,new wave
24,Depeche Mode,Policy of Truth,0C6EIiQu8CS4eYtOCMEiAd,0.6579999999999999,0.0093,0.359,0.6779999999999999,114.209,new wave
25,Echo & the Bunnymen,With a Hip,2sTmJ0s9d3FL9ieWaafTTL,0.866,7.859999999999999e-05,0.792,0.542,144.237,post-punk
26,Men I Trust,Seven,2dwvxOHnQjndZLowIR6PiS,0.42100000000000004,0.6659999999999999,0.8320000000000001,0.6920000000000001,96.98200000000001,indie
27,Talk Talk,Candy,7HqnpTVl4MjlUGywaHlXGV,0.738,0.0175,0.634,0.5870000000000001,76.101,new wave
28,The Mamas & the Papas,California Dreamin',4s6LhHAV5SEsOV0lC2tjvJ,0.608,0.35200000000000004,0.637,0.552,112.367,60s
30,Styx,Man In The Wilderness,0hxHatHRsTDFNZ2Ruw47n3,0.519,0.0393,0.308,0.263,138.34,classic rock
31,The Cure,Lovesong,0X5C4WjQNubRysTkHOubz3,0.813,0.33899999999999997,0.821,0.611,140.112,80s
32,Joy Division,Decades - 2007 Remaster,1nht40JT9sTCtXxrpPi5Gm,0.5379999999999999,0.000489,0.436,0.5720000000000001,107.089,post-punk
33,Joy Division,Shadowplay,4ZuC5MfGjRQs3pZtPxqMYP,0.7559999999999999,0.000997,0.11699999999999999,0.433,145.44299999999998,post-punk
34,Talk Talk,I Don't Believe in You,2PeyQvyaViallofbtwS4PL,0.425,0.08,0.377,0.6629999999999999,85.92399999999999,80s
35,Joy Division,Isolation,1UWbBFaZNksb3AmgldkprR,0.7829999999999999,0.048,0.6970000000000001,0.544,151.52200000000002,post-punk
36,Slowdive,When the Sun Hits,0oxYB9GoOIDrdzniNdKC44,0.532,0.00101,0.218,0.33,93.512,shoegaze
37,The Cure,A Forest,3O4TPMOgChXOerSdB5WENH,0.62,0.34,0.42100000000000004,0.633,81.117,new wave
38,The Growlers,Love Test,4lNdwUwfLs4ogOGN2qzaxD,0.728,0.00744,0.745,0.65,114.988,as seen on TV
40,Franz Ferdinand,Take Me Out,6ooluO7DiEhI1zmK94nRCM,0.6759999999999999,0.00042300000000000004,0.494,0.278,104.545,indie
42,Joy Division,Wilderness - 2007 Remaster,69uyiCMqXdr7qVYGHL4I8t,0.6509999999999999,0.00144,0.49200000000000005,0.584,120.023,alternative
43,Slowdive,Altogether,4KnSm0B0r4F5zsB9qsfiUB,0.46399999999999997,0.695,0.19699999999999998,0.192,142.505,shoegaze
44,Talking Heads,Crosseyed and Painless,0yhwdmbgkKdE1plV8xWdrd,0.818,0.138,0.894,0.723,135.122,new wave
45,The Cure,Other Voices,5I54KutlUcBNmh0hmuAOy4,0.546,3.26e-05,0.575,0.727,116.542,new wave
46,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,0.5870000000000001,0.141,0.486,0.679,186.003,rnb
47,Charli XCX,Roll with Me,0D6VCA9ycrkk9kH9F0p0AB,0.603,0.0286,0.478,0.728,137.96200000000002,pc music
49,Placebo,Lady of the Flowers,2FfiXZdVAaX2MuIhcCTjsy,0.621,0.000602,0.141,0.423,141.493,alternative rock
